CharacterA,Bingley,Caroline,Charlotte,Collins,Darcy,Elizabeth,Fitzwilliam,Gardiner,Hurst,Jane,Kitty,LadyCatherine,Lydia,Maria,Mary,MrBennet,MrsBennet,MrsGardiner,MrsHurst,SirWilliam,Wickham
Bingley,,0.0,0.0,0.0,2.1972245773362196,3.044522437723423,,,0.0,2.995732273553991,,,,,,1.3862943611198906,1.6094379124341003,,,,0.0
Caroline,0.0,,,,2.4849066497880004,2.3978952727983707,,,,1.9459101490553132,,,0.0,,0.0,1.0986122886681098,,,1.9459101490553132,,
Charlotte,0.0,,,2.1972245773362196,0.6931471805599453,1.9459101490553132,,,,0.6931471805599453,0.0,,0.6931471805599453,0.0,,0.0,0.0,,,,
Collins,0.0,,2.1972245773362196,,,2.5649493574615367,,,,1.3862943611198906,,1.6094379124341003,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,,,,0.6931471805599453
Darcy,2.1972245773362196,2.4849066497880004,0.6931471805599453,,,3.367295829986474,1.0986122886681098,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098,1.3862943611198906,,,,0.0,0.0,1.0986122886681098,,,2.0794415416798357
Elizabeth,3.044522437723423,2.3978952727983707,1.9459101490553132,2.5649493574615367,3.367295829986474,,0.0,0.0,0.0,3.7376696182833684,1.3862943611198906,1.6094379124341003,1.791759469228055,0.6931471805599453,0.0,2.70805020110221,2.302585092994046,2.1972245773362196,,,2.0794415416798357
Fitzwilliam,,,,,1.0986122886681098,0.0,,,,,,0.0,,,,,,,,,
Gardiner,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,0.0
Hurst,0.0,,,,0.6931471805599453,0.0,,,,0.0,,,,,,,,,,,
Jane,2.995732273553991,1.9459101490553132,0.6931471805599453,1.3862943611198906,1.791759469228055,3.7376696182833684,,0.0,0.0,,1.0986122886681098,0.0,1.0986122886681098,0.0,,0.6931471805599453,1.3862943611198906,0.0,,,1.3862943611198906
Kitty,,,0.0,,1.0986122886681098,1.3862943611198906,,,,1.0986122886681098,,,1.9459101490553132,,2.0794415416798357,0.6931471805599453,1.3862943611198906,,,,
LadyCatherine,,,,1.6094379124341003,1.3862943611198906,1.6094379124341003,0.0,,,0.0,,,,,,,0.0,,,,
Lydia,,0.0,0.6931471805599453,1.0986122886681098,,1.791759469228055,,0.0,,1.0986122886681098,1.9459101490553132,,,,,1.3862943611198906,1.0986122886681098,,0.0,,2.0794415416798357
Maria,,,0.0,0.6931471805599453,,0.6931471805599453,,,,0.0,,,,,,,,,,0.0,
Mary,,0.0,,0.0,,0.0,,,,,2.0794415416798357,,,,,,0.0,,,,0.0
MrBennet,1.3862943611198906,1.0986122886681098,0.0,0.6931471805599453,0.0,2.70805020110221,,0.0,,0.6931471805599453,0.6931471805599453,,1.3862943611198906,,,,,,,,0.0
MrsBennet,1.6094379124341003,,0.0,0.6931471805599453,0.0,2.302585092994046,,,,1.3862943611198906,1.3862943611198906,0.0,1.0986122886681098,,0.0,,,,,,
MrsGardiner,,,,,1.0986122886681098,2.1972245773362196,,,,0.0,,,,,,,,,,,0.6931471805599453
MrsHurst,,1.9459101490553132,,,,,,,,,,,0.0,,,,,,,,
SirWilliam,,,,,,,,,,,,,,0.0,,,,,,,
Wickham,0.0,,,0.6931471805599453,2.0794415416798357,2.0794415416798357,,0.0,,1.3862943611198906,,,2.0794415416798357,,0.0,0.0,,0.6931471805599453,,,
